# Version 1.00
#
power[dBm]	Trc2_S21[dB]	
-4.000000000000000E+001	2.609883950913842E+001	
-3.998999749937484E+001	2.611018291429957E+001	
-3.997999499874969E+001	2.613171853538055E+001	
-3.996999249812453E+001	2.615109388389386E+001	
-3.995998999749938E+001	2.617747123530599E+001	
-3.994998749687422E+001	2.615716322665886E+001	
-3.993998499624906E+001	2.615314008269291E+001	
-3.992998249562390E+001	2.615089187571072E+001	
-3.991997999499875E+001	2.615856888663145E+001	
-3.990997749437359E+001	2.617006098078272E+001	
-3.989997499374844E+001	2.617648976071478E+001	
-3.988997249312328E+001	2.614817649219498E+001	
-3.987996999249813E+001	2.617470931460565E+001	
-3.986996749187297E+001	2.617977590048123E+001	
-3.985996499124781E+001	2.620884256724465E+001	
-3.984996249062266E+001	2.618341433337625E+001	
-3.983995998999750E+001	2.612327713210890E+001	
-3.982995748937234E+001	2.617604348869496E+001	
-3.981995498874719E+001	2.615035558155661E+001	
-3.980995248812203E+001	2.615339276880187E+001	
-3.979994998749687E+001	2.614949892137134E+001	
-3.978994748687172E+001	2.614578282397973E+001	
-3.977994498624656E+001	2.612236474088332E+001	
-3.976994248562141E+001	2.616069401157041E+001	
-3.975993998499625E+001	2.614020358610722E+001	
-3.974993748437110E+001	2.614672565683542E+001	
-3.973993498374594E+001	2.617783034660986E+001	
-3.972993248312078E+001	2.616145257141811E+001	
-3.971992998249562E+001	2.613373098220191E+001	
-3.970992748187047E+001	2.612241031155617E+001	
-3.969992498124531E+001	2.613054335063936E+001	
-3.968992248062015E+001	2.613160177486469E+001	
-3.967991997999500E+001	2.611417604465217E+001	
-3.966991747936984E+001	2.615715678094608E+001	
-3.965991497874469E+001	2.616307912586986E+001	
-3.964991247811953E+001	2.616430473392827E+001	
-3.963990997749438E+001	2.616080380974463E+001	
-3.962990747686922E+001	2.614252897664955E+001	
-3.961990497624406E+001	2.615837599552589E+001	
-3.960990247561890E+001	2.614041387625339E+001	
-3.959989997499375E+001	2.614824028544802E+001	
-3.958989747436859E+001	2.611968819494805E+001	
-3.957989497374344E+001	2.610999981013313E+001	
-3.956989247311828E+001	2.615740244280023E+001	
-3.955988997249312E+001	2.613204446760814E+001	
-3.954988747186797E+001	2.610780299172645E+001	
-3.953988497124281E+001	2.609734873335437E+001	
-3.952988247061766E+001	2.613859756190335E+001	
-3.951987996999250E+001	2.610061483714995E+001	
-3.950987746936734E+001	2.611415465924924E+001	
-3.949987496874218E+001	2.611869057937632E+001	
-3.948987246811703E+001	2.614422418789657E+001	
-3.947986996749187E+001	2.615428917950098E+001	
-3.946986746686672E+001	2.614559738685140E+001	
-3.945986496624156E+001	2.619452587859088E+001	
-3.944986246561641E+001	2.616096683490900E+001	
-3.943985996499125E+001	2.617169897547419E+001	
-3.942985746436609E+001	2.614169997295831E+001	
-3.941985496374094E+001	2.619215688367914E+001	
-3.940985246311578E+001	2.617847829594423E+001	
-3.939984996249062E+001	2.618844363401878E+001	
-3.938984746186547E+001	2.618596958918573E+001	
-3.937984496124031E+001	2.616614423325345E+001	
-3.936984246061515E+001	2.616913347905502E+001	
-3.935983995999000E+001	2.617509567216958E+001	
-3.934983745936484E+001	2.615125715585054E+001	
-3.933983495873969E+001	2.615764579294737E+001	
-3.932983245811453E+001	2.614647586722672E+001	
-3.931982995748938E+001	2.614480761523243E+001	
-3.930982745686421E+001	2.610903921025842E+001	
-3.929982495623906E+001	2.612462981275441E+001	
-3.928982245561390E+001	2.614615760724452E+001	
-3.927981995498875E+001	2.615030382658479E+001	
-3.926981745436359E+001	2.615730317534299E+001	
-3.925981495373843E+001	2.612314944449128E+001	
-3.924981245311328E+001	2.615477691369263E+001	
-3.923980995248812E+001	2.614020172935010E+001	
-3.922980745186297E+001	2.612651500885689E+001	
-3.921980495123781E+001	2.614962945958254E+001	
-3.920980245061266E+001	2.610623978760190E+001	
-3.919979994998749E+001	2.613528556062155E+001	
-3.918979744936234E+001	2.616019886852968E+001	
-3.917979494873718E+001	2.618809884294635E+001	
-3.916979244811203E+001	2.616935755291592E+001	
-3.915978994748687E+001	2.613949698595517E+001	
-3.914978744686172E+001	2.613866569075442E+001	
-3.913978494623656E+001	2.615289409307252E+001	
-3.912978244561140E+001	2.613499347059913E+001	
-3.911977994498625E+001	2.610149431932230E+001	
-3.910977744436109E+001	2.611384211960602E+001	
-3.909977494373594E+001	2.612021698348129E+001	
-3.908977244311078E+001	2.614188910328069E+001	
-3.907976994248562E+001	2.612618539200851E+001	
-3.906976744186046E+001	2.612688094751060E+001	
-3.905976494123531E+001	2.608366493064253E+001	
-3.904976244061015E+001	2.611107418890683E+001	
-3.903975993998500E+001	2.612814001983240E+001	
-3.902975743935984E+001	2.612406399597495E+001	
-3.901975493873469E+001	2.615992440971871E+001	
-3.900975243810953E+001	2.614588189218312E+001	
-3.899974993748437E+001	2.616312984871609E+001	
-3.898974743685921E+001	2.616715378568638E+001	
-3.897974493623406E+001	2.616598189257580E+001	
-3.896974243560890E+001	2.617077662523303E+001	
-3.895973993498375E+001	2.616539498860732E+001	
-3.894973743435859E+001	2.613977262613766E+001	
-3.893973493373343E+001	2.617330746770504E+001	
-3.892973243310828E+001	2.618705419064670E+001	
-3.891972993248312E+001	2.617964920733675E+001	
-3.890972743185797E+001	2.616625488735360E+001	
-3.889972493123281E+001	2.616033736104890E+001	
-3.888972243060766E+001	2.616120462896320E+001	
-3.887971992998249E+001	2.617394555409114E+001	
-3.886971742935734E+001	2.614036556171742E+001	
-3.885971492873218E+001	2.614814553967759E+001	
-3.884971242810703E+001	2.612656182168242E+001	
-3.883970992748187E+001	2.616105177278045E+001	
-3.882970742685671E+001	2.614237730208887E+001	
-3.881970492623156E+001	2.614577222772267E+001	
-3.880970242560640E+001	2.614824036126326E+001	
-3.879969992498125E+001	2.614776835603622E+001	
-3.878969742435609E+001	2.614453566618729E+001	
-3.877969492373093E+001	2.614481512296722E+001	
-3.876969242310577E+001	2.614722677175711E+001	
-3.875968992248062E+001	2.613314664341573E+001	
-3.874968742185546E+001	2.613906414634541E+001	
-3.873968492123031E+001	2.610321725532704E+001	
-3.872968242060515E+001	2.614065266687182E+001	
-3.871967991998000E+001	2.616175467004653E+001	
-3.870967741935484E+001	2.616444074305943E+001	
-3.869967491872968E+001	2.615323351953412E+001	
-3.868967241810453E+001	2.616647745428896E+001	
-3.867966991747937E+001	2.613083291301569E+001	
-3.866966741685421E+001	2.614187531007032E+001	
-3.865966491622906E+001	2.612911835842327E+001	
-3.864966241560390E+001	2.611721166828430E+001	
-3.863965991497874E+001	2.612728781842743E+001	
-3.862965741435359E+001	2.611304866867124E+001	
-3.861965491372843E+001	2.612966660742654E+001	
-3.860965241310328E+001	2.612772129053282E+001	
-3.859964991247812E+001	2.609593246925019E+001	
-3.858964741185297E+001	2.610700133923133E+001	
-3.857964491122781E+001	2.610175209721976E+001	
-3.856964241060265E+001	2.613368208454186E+001	
-3.855963990997749E+001	2.615603057396537E+001	
-3.854963740935234E+001	2.614195184431822E+001	
-3.853963490872718E+001	2.616431957520950E+001	
-3.852963240810202E+001	2.617278535477717E+001	
-3.851962990747687E+001	2.614501425600216E+001	
-3.850962740685171E+001	2.615844925751021E+001	
-3.849962490622656E+001	2.615328861394734E+001	
-3.848962240560140E+001	2.617827160252106E+001	
-3.847961990497625E+001	2.615986112976127E+001	
-3.846961740435109E+001	2.617727932545388E+001	
-3.845961490372594E+001	2.618041618549419E+001	
-3.844961240310077E+001	2.615530675087890E+001	
-3.843960990247562E+001	2.617405136146033E+001	
-3.842960740185046E+001	2.618195286561213E+001	
-3.841960490122531E+001	2.611990486437285E+001	
-3.840960240060015E+001	2.615495916337110E+001	
-3.839959989997499E+001	2.615296469818858E+001	
-3.838959739934984E+001	2.613881196464148E+001	
-3.837959489872468E+001	2.611686368814775E+001	
-3.836959239809953E+001	2.614348906396127E+001	
-3.835958989747437E+001	2.615702701834651E+001	
-3.834958739684921E+001	2.612191341389940E+001	
-3.833958489622405E+001	2.614536231751952E+001	
-3.832958239559890E+001	2.613381547295804E+001	
-3.831957989497374E+001	2.614882047755985E+001	
-3.830957739434859E+001	2.614049377258543E+001	
-3.829957489372343E+001	2.614057248351999E+001	
-3.828957239309828E+001	2.610304853292460E+001	
-3.827956989247312E+001	2.608668120510810E+001	
-3.826956739184796E+001	2.611458340241551E+001	
-3.825956489122281E+001	2.613702935537501E+001	
-3.824956239059765E+001	2.616108878005936E+001	
-3.823955988997249E+001	2.617102581980763E+001	
-3.822955738934734E+001	2.615186686697909E+001	
-3.821955488872218E+001	2.615729057078976E+001	
